case,label,voxel_count,percentage_of_total,total_voxels
word_0142.nii.gz,2,1502951,2.8666515350341797,52428800
word_0142.nii.gz,3,149771,0.28566551208496094,52428800
word_0142.nii.gz,4,64,0.0001220703125,52428800
word_0143.nii.gz,1,55098923,96.85977461151263,56885248
word_0143.nii.gz,2,1545785,2.7173741072553645,56885248
word_0143.nii.gz,3,240513,0.42280381725680444,56885248
word_0143.nii.gz,4,27,4.746397519441244e-05,56885248
word_0144.nii.gz,1,60928428,98.06899058667919,62128128
word_0144.nii.gz,2,1039510,1.6731712888564743,62128128
word_0144.nii.gz,3,160112,0.2577125774657173,62128128
word_0144.nii.gz,4,78,0.00012554699861550632,62128128
word_0145.nii.gz,1,57832726,97.61696536984064,59244544
word_0145.nii.gz,2,1150630,1.9421704047549087,59244544
word_0145.nii.gz,3,260937,0.44044055769928786,59244544
word_0145.nii.gz,4,251,0.00042366770516454646,59244544
word_0146.nii.gz,1,41182241,97.57626219565824,42205184
word_0146.nii.gz,2,927619,2.197879293690557,42205184
word_0146.nii.gz,3,95269,0.22572819490610443,42205184
word_0146.nii.gz,4,55,0.0001303157450989907,42205184
word_0147.nii.gz,1,51115055,97.49423027038574,52428800
word_0147.nii.gz,2,1120607,2.137388229370117,52428800
word_0147.nii.gz,3,193081,0.3682727813720703,52428800
word_0147.nii.gz,4,57,0.0001087188720703125,52428800
word_0148.nii.gz,1,62305160,98.21294358939178,63438848
word_0148.nii.gz,2,1016616,1.6025133369382747,63438848
word_0148.nii.gz,3,117021,0.18446268128954674,63438848
word_0148.nii.gz,4,51,8.039238039127066e-05,63438848
word_0150.nii.gz,1,59019224,97.88716191830842,60293120
word_0150.nii.gz,2,1147505,1.903210515561311,60293120
word_0150.nii.gz,3,126203,0.20931575609290082,60293120
word_0150.nii.gz,4,188,0.00031181003736413044,60293120
