case,pair,rater_a,rater_b,label,class,dsc,nsd,binary_kappa,tp,tn,fp,fn
s0057,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.9145964750927212,0.6186318304087458,0.9140560732828522,91488,15687642,16952,134
s0057,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.9807671094078761,0.7880335818280095,0.9801520325434384,480111,15297275,7144,11686
s0058,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.9984333773425266,nan,0.9451014100172276,27993778,779673,29191,58658
s0058,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.843587900960345,0.44936334892999574,0.8433816171978055,32282,28817047,9103,2868
s0058,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.9378620993780634,0.6917086240226569,0.9376493041253532,92514,28756527,9891,2368
s0058,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.953609835055735,0.5632085172505517,0.952479341086151,654831,28142758,39710,24001
s0059,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.997583175390351,nan,0.9009561521361016,23723523,537289,25442,89507
s0059,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.6656872616827058,0.28677014221589453,0.6652837482457841,20164,24335344,15361,4892
s0059,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.817362800892875,0.487230888382836,0.8166394730936505,81290,24258143,36268,60
s0059,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.9372004154668949,0.5957333282667095,0.9359795167632363,435816,23881539,37897,20509
s0065,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.9969692511790988,nan,0.8948469839345605,23384008,624860,13503,128670
s0065,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.8772369583530234,0.576230979767018,0.8771137625806922,21348,24123718,4722,1253
s0065,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.9004977371478126,0.5879983478404109,0.9000440408883079,99686,24029325,21951,79
s0065,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.8982296625127025,0.5413406044349791,0.8958257181550506,503826,23533047,101997,12171
s0066,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.9948977452330585,nan,0.8936362581243739,10794940,491178,12931,97791
s0066,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.7905997708560923,0.36493930476548464,0.7902544167876531,14836,11374145,3873,3986
