case,pair,multiclass_kappa,exact_agreement,foreground_multiclass_kappa,foreground_exact_agreement
UKCHLL087,annotation_1_vs_clip_unet,0.927407625412364,0.9981683621504058,1.0,0.8660216037131195
UKCHLL087,annotation_2_vs_annotation_3,0.9887221919249073,0.9997133219718004,1.0,0.9779371933239857
UKCHLL087,annotation_2_vs_clip_unet,0.9328203482322662,0.9982896041498677,1.0,0.8753986503928732
UKCHLL087,annotation_3_vs_clip_unet,0.9335778269665432,0.9983040457691167,1.0,0.8767214162883747
UKCHLL089,annotation_1_vs_annotation_2,0.9725932332594599,0.9993254587396996,1.0,0.9471682146009236
UKCHLL089,annotation_1_vs_annotation_3,0.9690829558647248,0.9992355939984191,1.0,0.9406054542042798
UKCHLL089,annotation_1_vs_clip_unet,0.9210747154901697,0.9980068603716179,1.0,0.8550789931937408
UKCHLL089,annotation_2_vs_annotation_3,0.9852469826930501,0.9996299868998365,1.0,0.9712146452375187
UKCHLL089,annotation_2_vs_clip_unet,0.9198902950951422,0.997948444947225,1.0,0.8530818421515626
UKCHLL089,annotation_3_vs_clip_unet,0.9213892701485246,0.9979780266083866,1.0,0.855639952736518
UKCHLL090,annotation_1_vs_annotation_2,0.968637199951677,0.999356368635837,0.9997680045164316,0.9396803118908382
UKCHLL090,annotation_1_vs_annotation_3,0.964514720378976,0.9992702072293314,0.9996806482977163,0.9320220186785227
UKCHLL090,annotation_1_vs_clip_unet,0.8987928361078779,0.9978277982256275,0.9969841041364013,0.8175701972895828
UKCHLL090,annotation_2_vs_annotation_3,0.9853742154011579,0.9996963467696761,0.9999244140822385,0.9714133538025322
UKCHLL090,annotation_2_vs_clip_unet,0.9007266037877947,0.9978499292937334,0.9966559431215006,0.8207437624987601
UKCHLL090,annotation_3_vs_clip_unet,0.900159098244277,0.9978332602730754,0.996501536645113,0.819812732605325
UKCHLL091,annotation_1_vs_annotation_2,0.9698667618652141,0.9990996118623261,0.9998584313140915,0.9422278944622341
UKCHLL091,annotation_1_vs_annotation_3,0.9666503982800027,0.9989971651178916,0.9997506539721471,0.9362613703616627
UKCHLL091,annotation_1_vs_clip_unet,0.9250702408821024,0.9976720740179781,0.9993184039204291,0.8622893910358213
UKCHLL091,annotation_2_vs_annotation_3,0.9862551759577606,0.9995819737545002,0.9997673456851082,0.9732319114841586
